time,iteration,accuracy/result/06-30-05-20-SSP-4-outdoors
0.01,0,52.88
60.09,2,52.94
120.03,4,53.02
180.08,9,53.18
240.08,11,53.12
310.09,11,52.97
360.07,18,54.3
420.05,22,54.19
480.02,28,54.66
540.08,31,53.83
600.08,35,54.69
660.08,38,55.67
720.08,41,55.16
780.04,45,55.5
840.04,48,55.95
900.09,52,57.35
960.09,55,57.32
1020.09,59,55.67
1080.09,63,55.39
1140.09,67,57.92
1260.13,75,58.36
1440.06,82,58.73
1620.13,92,58.93
1800.12,97,59.04
1980.12,103,59.65
2160.13,113,59.91
2340.12,135,60.36
2520.03,145,60.95
2700.04,149,61.26
2880.12,154,61.5
3060.1,165,61.72
3240.05,182,62.05
3420.09,200,62.55
3600.07,204,62.96
3780.03,208,63.39
3960.12,216,63.79
4140.12,228,64.18
4320.5,298,64.51
4500.03,335,64.88
4680.11,381,65.37
4860.11,403,65.61
5400.12,439,65.72
5940.03,457,66.01
6480.12,480,66.30
7020.04,543,66.72
7560.13,579,67.0
8100.04,600,67.52
8640.13,629,67.97